Node ID,Node Title,Node Type,Response,Response ID,Outcome,Outcome ID,Wait,Hover Text
25,Were you taken into custody?,Question,Yes,,Processed between ports of entry by Border Patrol,26,,
25,Were you taken into custody?,Question,No,,Inside the US without authorization,4,,
26,Processed between ports of entry by Border Patrol,Comment,,,Do you have a prior deportation order?,27,,
27,Do you have a prior deportation order?,Question,Yes,,Do you have a felony prosecution?,28,,
27,Do you have a prior deportation order?,Question,No,,Are you an unaccompanied child?,29,,
28,Do you have a felony prosecution?,Question,Yes,,Title 8 ICE detention,18,,
28,Do you have a felony prosecution?,Question,No,,??,,,
29,Are you an unaccompanied child?,Question,Yes,,Are you from Mexico?,30,,
29,Are you an unaccompanied child?,Question,No,,Are you part of a Family Unit?,32,,
30,Are you from Mexico?,Question,Yes,,Are you a victim of trafficking?,31,,
30,Are you from Mexico?,Question,No,,You are transferred to ORR custody,34,,
31,Are you a victim of trafficking?,Question,Yes,,??,,,
31,Are you a victim of trafficking?,Question,No,,Issued order of removal,3,,
32,Are you part of a Family Unit?,Question,Yes,,Did you cross in South Texas with a child under 7?,33,,
32,Are you part of a Family Unit?,Question,No,,"Does DHS have logistical capacity to expel you, and there are no other obstacles such as physical health that prevent expulsion?",36,,
33,Did you cross in South Texas with a child under 7?,Question,Yes,,Non-detained Immigration Court process,13,,
33,Did you cross in South Texas with a child under 7?,Question,No,,"Does DHS have logistical capacity to expel you, and there are no other obstacles such as physical health that prevent expulsion?",36,,
34,You are transferred to ORR custody,Comment,,,Do you have a sponsor inside the US?,,,
35,Do you have a sponsor inside the US?,Question,Yes,,Non-detained Immigration Court process,13,,
35,Do you have a sponsor inside the US?,Question,No,,??,,,
36,"Does DHS have logistical capacity to expel you, and there are no other obstacles such as physical health that prevent expulsion?",Question,Yes,,"Are you Mexican, Guatemalan, Honduran, Salvadoran, or Venezuelan?",37,,
36,"Does DHS have logistical capacity to expel you, and there are no other obstacles such as physical health that prevent expulsion?",Question,No,,Title 8,40,,
37,"Are you Mexican, Guatemalan, Honduran, Salvadoran, or Venezuelan?",Question,Yes,,Title 42 back to Mexico,6,,
37,"Are you Mexican, Guatemalan, Honduran, Salvadoran, or Venezuelan?",Question,No,,Does your country accept Title 42 deportation flights?,38,,
38,Does your country accept Title 42 deportation flights?,Question,Yes,,Title 42 to a country other than Mexico,5,,
38,Does your country accept Title 42 deportation flights?,Question,No,,Were you picked up in the Rio Grande Valley?,39,,
39,Were you picked up in the Rio Grande Valley?,Question,Yes,,"Do you intend to reside in Boston, Miami, New York City, Newwark, San Francisco, Los Angeles, Chicago, Washington, DC, or New Orleans?",42,,Sanctuary Cities
39,Were you picked up in the Rio Grande Valley?,Question,No,,Title 8,40,,
40,Title 8,Comment,,,Does DHS have the capacity to send you to detention?,41,,
41,Does DHS have the capacity to send you to detention?,Question,Yes,,Title 8 ICE detention,18,,
41,Does DHS have the capacity to send you to detention?,Question,No,,Non-detained Immigration Court process,13,,
42,"Do you intend to reside in Boston, Miami, New York City, Newwark, San Francisco, Los Angeles, Chicago, Washington, DC, or New Orleans?",Question,Yes,,Asylum processing rule likely applies,43,,
42,"Do you intend to reside in Boston, Miami, New York City, Newwark, San Francisco, Los Angeles, Chicago, Washington, DC, or New Orleans?",Question,No,,??,,,
43,Asylum processing rule likely applies,Comment,,,Did you pass the credible or reasonable fear interview within the asylum processing rule?,44,,
44,Did you pass the credible or reasonable fear interview within the asylum processing rule?,Question,Yes,,You Asylum Merits Interview (AMI) occurs within 21-45 days of you credible fear interview. You must submit any evidence 7-10 days before your AMI.,45,,
44,Did you pass the credible or reasonable fear interview within the asylum processing rule?,Question,No,,Did you pass IJ review?,,,
45,You Asylum Merits Interview (AMI) occurs within 21-45 days of you credible fear interview. You must submit any evidence 7-10 days before your AMI.,Comment,,,Are you granted asylum?,46,,
46,Are you granted asylum?,Question,Yes,,Asylum,1,,
46,Are you granted asylum?,Question,No,,??,,,
